Configuration,Experiment,Samples/Sec,Step Time (s),GPU Util (%),GPU Power (W),CPU (%),Memory (%),Kernel Tweaks
one_node_one_gpu,base,1.925417427652733,0.6129581993569132,93.69581993569132,61.15337620578778,9.963729903536978,2.5475884244372993,No tweaks
one_node_two_gpu,exp2,1.7653790620871865,0.6663540290620871,52.49537648612946,,9.362615587846763,6.09980184940555,No tweaks
