Experiment,Samples/Sec,Step Time (s),GPU Util (%),GPU Power (W),CPU (%),Memory (%),Kernel Tweaks
exp1,1.6291064369310795,0.7281963589076722,58.581274382314696,,9.39037711313394,2.6109232769830952,script tweaks: 4 cmds
base,1.7511249003984062,0.657371181938911,53.177954847277555,,9.297211155378486,2.6,No tweaks
