Experiment,Samples/Sec,Step Time (s),GPU Util (%),GPU Power (W),CPU (%),Memory (%),Kernel Tweaks
exp1,1.8716008626410083,0.6238002654280027,91.69409422694095,62.135102853351036,9.869409422694094,7.900000000000002,"sysctl: 5 params, grub: 4 params"
exp3,1.8761561819346573,0.618419602818706,92.22293401665598,65.67604099935939,9.733183856502242,2.1999999999999997,"sysctl: 5 params, grub: 1 params"
base,1.925417427652733,0.6129581993569132,93.69581993569132,61.15337620578778,9.963729903536978,2.5475884244372993,No tweaks
exp2,1.8982637988087356,0.6140880211780277,92.51224354731966,62.20403706154863,9.930708140304434,4.2,"sysctl: 12 params, grub: 5 params"
